Name,Description,Price,Image URL
Honda Stream,"2004 г., 2 л., автомат, компактвэн, бензин, руль справа, 250 000 км",$ 6 600,https://im.mashina.kg/tachka/images//1/3/b/13b0a6f92c149bcbaf498a4a99f451c4_240x180.jpg
Volkswagen Golf,"1996 г., 1.6 л., механика, хэтчбек 5 дв., бензин, руль слева, 200 000 км",$ 3 850,https://im.mashina.kg/tachka/images//e/1/1/e11835a18a851071e79db4a5dfe43839_240x180.jpg
Hyundai Solaris,"2013 г., 1.6 л., механика, седан, бензин, руль слева, 215 000 км",$ 6 800,https://im.mashina.kg/tachka/images//2/6/b/26b7e05cbf387ce433498016e91ac6b9_240x180.jpg
Toyota RAV4,"2019 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 64 000 км",$ 42 000,https://im.mashina.kg/tachka/images//8/d/5/8d5ac63937f04a8b36d42f60f380ecdb_240x180.jpg
Volvo S60,"2004 г., 2.5 л., автомат, седан, бензин, руль слева, 126 500 км",$ 6 300,https://im.mashina.kg/tachka/images//4/2/f/42f29b704b9293cb4f2a32ac7e15547b_240x180.jpg
Jetour Jetour X70M,"2023 г., 1.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 20 км",$ 23 000,https://im.mashina.kg/tachka/images//6/4/9/649a67cd60dfb58bfd873d15ae50bce3_240x180.jpg
Toyota RAV4,"2017 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 55 000 км",$ 28 000,https://im.mashina.kg/tachka/images//1/6/2/162e1e2ebe19579ef83c0ead9c6fb652_240x180.jpg
Hyundai Sonata,"2016 г., 2.4 л., автомат, седан, бензин, руль слева, 54 000 км",$ 16 500,https://im.mashina.kg/tachka/images//e/2/0/e20fd7fd0e601d09e7262cf84d6135b2_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 143 231 км",$ 14 550,https://im.mashina.kg/tachka/images//6/7/1/6713c88be67b3b49544376d20f183053_240x180.jpg
Toyota RAV4,"2018 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 151 000 км",$ 27 000,https://im.mashina.kg/tachka/images//d/a/2/da2a5696a252925205176e8ea06574a6_240x180.jpg
